idmeter,clus_num
22812953,1
22812954,2
22812955,3
22812956,4
22812957,4
22812958,5
22812959,1
22812960,1
22812961,6
22812962,7
22812963,4
22812964,1
22812965,1
22812966,4
22812968,7
22812969,7
22812970,3
22812971,4
22812972,3
22812973,4
22812974,8
22812976,1
22812977,4
22812978,7
22812979,1
22812980,4
22812981,1
22812983,7
22812984,1
22812985,1
22812986,9
22812988,1
22812989,4
22812991,10
22812992,10
22812994,1
22812996,3
22812997,1
22812998,11
22813000,8
22813002,5
22813003,1
22813004,5
22813005,3
22813006,4
22813007,1
22813009,1
22813014,1
22813016,5
22813019,8
22813021,8
22813023,8
22813024,7
22813025,8
22813027,11
22813028,8
22813029,10
22813031,11
22813033,3
22813034,10
22813035,11
22813036,7
22813037,1
22813039,2
22813041,7
22813042,2
22813043,11
22813048,10
22813052,7
22813054,12
22813055,4
22813056,8
22813060,10
22813061,1
22813062,10
22813063,1
22813064,1
22813065,11
22813068,7
22813069,1
22813070,7
22813071,10
22813073,4
22813075,7
22813077,10
22813078,1
22813079,10
22813080,8
22813081,10
22813083,11
22813090,11
22813092,10
22813094,10
22813096,10
22813097,4
22813098,7
22813100,1
22813101,10
22813102,1
22813103,10
22813104,8
22813106,1
22813107,1
22813108,7
22813109,1
22813110,1
22813111,10
22813112,10
22813113,1
22813114,7
22813115,4
22813116,4
22813117,1
22813120,3
22813121,3
22813122,5
22813123,11
22813124,4
22813125,1
22813127,3
22813128,4
22813129,4
22813132,3
22813134,4
22813135,11
22813136,3
22813137,1
22813138,1
22813139,8
22813140,3
22813141,1
22813142,1
22813143,1
22813144,1
22813145,4
22813146,3
22813147,7
22813148,3
22813149,1
22813150,4
22813151,4
22813152,4
22813153,4
22813154,1
22813155,1
22813156,8
22813158,9
22813159,5
22813160,7
22813161,8
22813162,1
22813164,4
22813166,4
22813167,4
22813168,1
22813170,6
22813171,3
22813174,3
22813176,8
22813177,3
22813178,6
22813179,1
22813180,1
22813181,4
22813182,1
22813183,5
22813184,7
22813185,7
22813186,11
22813188,2
22813189,3
22813190,1
22813192,2
22813193,4
22813194,7
22813195,2
22813197,12
22813198,1
22813199,8
22813200,11
22813201,7
22813202,7
22813204,11
22813205,3
22813208,3
22813209,7
22813210,1
22813211,3
22813212,7
22813213,11
22813214,9
22813215,7
22813216,2
22813217,2
22813218,7
22813219,11
22813220,11
22813221,1
22813222,4
22813223,1
22813225,1
22813226,4
22813227,1
22813228,1
22813230,7
22813231,11
22813235,7
22813237,1
22813238,11
22813239,1
22813240,7
22813241,11
22813242,12
22813243,7
22813244,1
22813245,6
22813246,10
22813248,3
22813249,11
22813250,11
22813251,11
22813252,12
22813255,1
22813256,11
22813257,1
22813258,11
22813259,10
22813260,7
22813262,3
22813263,8
22813264,1
22813265,11
22813266,1
22813267,11
22813268,12
22813269,11
22813270,10
22813271,7
22813272,1
22813273,7
22813274,11
22813276,1
22813277,7
22813279,11
22813280,1
22813281,11
22813282,9
22813283,11
22813284,1
22813285,11
22813286,1
22813287,1
22813288,11
22813289,10
22813290,7
22813291,2
22813292,1
22813294,3
22813295,3
22813296,7
22813297,4
22813299,11
22813300,3
22813302,7
22813303,5
22813304,4
22813305,1
22813306,8
22813307,4
22813308,8
22813309,4
22813310,3
22813311,10
22813312,1
22813313,11
22813315,1
22813317,11
22813318,4
22813319,6
22813320,11
22813321,11
22813322,4
22813323,8
22813324,1
22813325,7
22813326,7
22813327,4
22813328,11
22813329,1
22813331,1
22813332,4
22813333,2
22813334,11
22813335,11
22813336,1
22813337,12
22813340,10
22813341,1
22813342,11
22813343,1
22813344,1
22813345,1
22813346,1
22813347,7
22813350,1
22813351,4
22813353,10
22813354,1
22813355,1
22813356,11
22813357,1
22813358,3
22813359,7
22813360,7
22813362,11
22813364,10
22813365,4
22813366,4
22813369,4
22813370,4
22813371,1
22813372,1
22813373,1
22813375,7
22813377,11
22813379,2
22813380,4
22813381,10
22813382,1
22813384,3
22813385,4
22813386,10
22813387,10
22813388,12
22813389,1
22813390,10
22813391,4
22813392,8
22813394,4
22813395,4
22813396,9
22813397,10
22813398,1
22813400,8
22813401,10
22813402,2
22813403,3
22813404,1
22813406,1
22813408,10
22813409,11
22813410,11
22813411,1
22813412,11
22813413,10
22813414,4
22813415,10
22813416,12
22813417,10
22813418,3
22813419,10
22813420,4
22813421,7
22813422,11
22813424,11
22813425,1
22813426,1
22813427,11
22813428,6
22813430,1
22813431,10
22813432,11
22813433,6
22813434,1
22813435,7
22813437,4
22813438,1
22813439,11
22813440,11
22813441,1
22813443,11
22813444,11
22813445,1
22813446,1
22813447,1
22813448,2
22813452,1
22813453,10
22813456,1
22813458,10
22813459,8
22813461,1
22813462,11
22813463,7
22813464,8
22813467,1
22813470,11
22813473,10
22813474,11
22813475,11
22813476,1
22813477,7
22813478,11
22813479,1
22813480,12
22813481,1
22813482,4
22813483,1
22813484,11
22813485,1
22813486,8
22813488,6
22813489,1
22813490,11
22813492,7
22813493,1
22813494,1
22813496,1
22813497,1
22813498,4
22813499,1
22813500,11
22813501,8
22813506,8
22813507,7
22813508,1
22813509,10
22813510,4
22813511,11
