ClusterNo,Base load,Desc usage,Morn load,Prepeak usage,Peak usage,Postpeak usage,PercM_7-10,PercE_5-11,DailyMin,DailyMax,DailyMean,DailySD
Cluster #1,262.45,4634.08,2580.73,2756.47,2968.61,3396.34,12.48,27.71,0.112,7.37,5.12,1.45
Cluster #2,34.08,7205.73,801.29,2055.89,1149.25,330.9,8.87,27.1,0.41,21.98,13.49,4.33
Cluster #3,52.91,2417.13,568.58,740.5,954.29,1141.14,9.61,31.8,0.11,7.09,4.41,1.64
Cluster #4,113.81,8041.87,1455.28,1216.97,1406.09,2290.87,12.73,24.11,0.09,7.55,4.51,1.73
Cluster #5,13.14,2231.46,151.27,155.08,338.06,517.95,6.89,32.11,0,5.94,3.83,1.2
Cluster #6,19.62,772.64,210.06,265.13,271.27,250.27,9.28,47.07,0.055,5.05,3.54,0.62
Cluster #7,102.94,3275.13,2246.83,1558.45,2018.39,1736.58,11.81,33.44,0.11,7.01,4.93,1.34
Cluster #8,80.5,5455.18,1796.11,1861.15,1671.61,1146.85,10.6,31.57,0.035,11.38,7.68,1.61
Cluster #9,46.9,3943.67,1565.92,636.7,899.32,530.42,19,31.61,0.083,8.1,6.4,0.91
Cluster #10,145.6,5028.44,2349.17,1986.65,1731.46,2198.18,10.99,26.37,0.12,11,7.25,2.01
Cluster #11,136.02,5523.19,3193.07,1821.59,2077.41,1970.92,14.28,28.64,0.05,8.85,6.33,1.5
Cluster #12,11.89,3565.04,1082.71,260.59,463.92,148.91,28.1,31.22,2.86,7.81,6.38,0.65
